,Year,Division,All,PK,KG,1,2,3,4,5,6,7,8,9,10,11,12
162,2019 - 2020,Colonial Heights City Public Schools,2899.0,72.0,216.0,232.0,218.0,187.0,224.0,227.0,228.0,212.0,206.0,246.0,216.0,201.0,214.0
163,2019 - 2020,Covington City Public Schools,1018.0,35.0,76.0,78.0,88.0,77.0,82.0,75.0,82.0,69.0,79.0,72.0,65.0,76.0,64.0
164,2019 - 2020,Craig County Public Schools,588.0,25.0,27.0,46.0,42.0,30.0,47.0,40.0,50.0,54.0,44.0,39.0,50.0,43.0,51.0
165,2019 - 2020,Culpeper County Public Schools,8521.0,161.0,645.0,593.0,631.0,611.0,609.0,655.0,679.0,676.0,679.0,741.0,685.0,575.0,581.0
166,2019 - 2020,Cumberland County Public Schools,1321.0,92.0,91.0,100.0,87.0,84.0,82.0,88.0,98.0,100.0,94.0,110.0,85.0,104.0,106.0
167,2019 - 2020,Danville City Public Schools,5702.0,236.0,460.0,449.0,444.0,431.0,403.0,478.0,442.0,407.0,416.0,411.0,375.0,379.0,371.0
168,2019 - 2020,Department of Juvenile Justice,115.0,2.0,2.0,20.0,44.0,27.0,20.0,,,,,,,,
169,2019 - 2020,Dickenson County Public Schools,2064.0,101.0,147.0,167.0,166.0,156.0,126.0,159.0,151.0,148.0,163.0,154.0,152.0,137.0,137.0
170,2019 - 2020,Dinwiddie County Public Schools,4347.0,48.0,333.0,335.0,332.0,349.0,304.0,331.0,327.0,331.0,348.0,342.0,339.0,301.0,327.0
171,2019 - 2020,Essex County Public Schools,1320.0,37.0,93.0,81.0,89.0,83.0,97.0,105.0,104.0,102.0,104.0,112.0,109.0,103.0,101.0
172,2019 - 2020,Fairfax County Public Schools,188940.0,4181.0,13070.0,13545.0,13447.0,13778.0,13668.0,13999.0,14739.0,14362.0,14283.0,15495.0,14778.0,14928.0,14657.0
173,2019 - 2020,Falls Church City Public Schools,2649.0,64.0,180.0,172.0,175.0,189.0,185.0,177.0,235.0,209.0,218.0,218.0,226.0,207.0,194.0
174,2019 - 2020,Fauquier County Public Schools,11181.0,165.0,742.0,725.0,786.0,778.0,773.0,799.0,889.0,845.0,872.0,958.0,970.0,880.0,999.0
175,2019 - 2020,Floyd County Public Schools,1923.0,67.0,130.0,121.0,124.0,132.0,139.0,124.0,141.0,161.0,151.0,153.0,182.0,141.0,157.0
176,2019 - 2020,Fluvanna County Public Schools,3549.0,80.0,217.0,222.0,237.0,237.0,234.0,266.0,288.0,279.0,300.0,324.0,316.0,262.0,287.0
177,2019 - 2020,Franklin City Public Schools,1078.0,57.0,77.0,73.0,88.0,81.0,95.0,76.0,92.0,78.0,70.0,85.0,76.0,61.0,69.0
178,2019 - 2020,Franklin County Public Schools,6887.0,222.0,451.0,494.0,496.0,481.0,511.0,558.0,566.0,509.0,542.0,566.0,524.0,473.0,494.0
179,2019 - 2020,Frederick County Public Schools,13880.0,121.0,947.0,1028.0,1022.0,988.0,1010.0,1083.0,1096.0,1159.0,1096.0,1127.0,1114.0,1051.0,1038.0
180,2019 - 2020,Fredericksburg City Public Schools,3763.0,181.0,355.0,328.0,295.0,269.0,253.0,266.0,293.0,265.0,236.0,302.0,267.0,203.0,242.0
181,2019 - 2020,Galax City Public Schools,1338.0,60.0,114.0,110.0,100.0,96.0,102.0,116.0,101.0,112.0,89.0,95.0,75.0,77.0,91.0
182,2019 - 2020,Giles County Public Schools,2394.0,86.0,170.0,193.0,198.0,158.0,157.0,167.0,169.0,153.0,196.0,182.0,185.0,209.0,171.0
183,2019 - 2020,Gloucester County Public Schools,5306.0,136.0,354.0,367.0,383.0,367.0,401.0,422.0,412.0,400.0,375.0,375.0,459.0,431.0,424.0
184,2019 - 2020,Goochland County Public Schools,2619.0,88.0,163.0,171.0,185.0,176.0,188.0,176.0,221.0,202.0,217.0,221.0,208.0,200.0,203.0
185,2019 - 2020,Grayson County Public Schools,1556.0,40.0,136.0,119.0,105.0,122.0,116.0,94.0,112.0,131.0,117.0,124.0,94.0,131.0,115.0
186,2019 - 2020,Greene County Public Schools,2978.0,40.0,206.0,184.0,205.0,201.0,213.0,239.0,244.0,245.0,251.0,250.0,239.0,235.0,224.0
187,2019 - 2020,Greensville County Public Schools,2223.0,112.0,158.0,159.0,145.0,170.0,145.0,163.0,209.0,172.0,159.0,148.0,156.0,178.0,149.0
188,2019 - 2020,Halifax County Public Schools,4896.0,293.0,351.0,343.0,317.0,302.0,342.0,355.0,378.0,376.0,373.0,381.0,378.0,367.0,340.0
189,2019 - 2020,Hampton City Public Schools,19590.0,607.0,1456.0,1480.0,1410.0,1365.0,1480.0,1451.0,1500.0,1543.0,1410.0,1809.0,1529.0,1365.0,1185.0
190,2019 - 2020,Hanover County Public Schools,17541.0,268.0,1155.0,1173.0,1159.0,1252.0,1259.0,1319.0,1327.0,1377.0,1449.0,1468.0,1475.0,1449.0,1411.0
191,2019 - 2020,Harrisonburg City Public Schools,6613.0,337.0,495.0,479.0,510.0,497.0,493.0,467.0,497.0,455.0,495.0,518.0,516.0,395.0,459.0
192,2019 - 2020,Henrico County Public Schools,51786.0,1141.0,3741.0,3704.0,3751.0,3718.0,3747.0,3904.0,3980.0,4059.0,4090.0,4332.0,4080.0,3782.0,3757.0
193,2019 - 2020,Henry County Public Schools,7381.0,313.0,487.0,522.0,535.0,517.0,512.0,589.0,574.0,578.0,549.0,611.0,555.0,490.0,549.0
194,2019 - 2020,Highland County Public Schools,218.0,17.0,19.0,21.0,15.0,18.0,14.0,5.0,16.0,12.0,14.0,14.0,18.0,19.0,16.0
195,2019 - 2020,Hopewell City Public Schools,4283.0,304.0,308.0,344.0,319.0,290.0,318.0,303.0,311.0,313.0,317.0,324.0,282.0,301.0,249.0
196,2019 - 2020,Isle of Wight County Public Schools,5630.0,111.0,382.0,402.0,380.0,410.0,401.0,415.0,440.0,477.0,423.0,488.0,455.0,453.0,393.0
197,2019 - 2020,King George County Public Schools,4518.0,96.0,326.0,309.0,355.0,333.0,302.0,333.0,372.0,371.0,355.0,369.0,381.0,295.0,321.0
198,2019 - 2020,King William County Public Schools,2188.0,16.0,145.0,160.0,141.0,155.0,164.0,139.0,189.0,184.0,162.0,210.0,162.0,173.0,188.0
199,2019 - 2020,King and Queen County Public Schools,833.0,32.0,52.0,114.0,188.0,43.0,47.0,42.0,52.0,57.0,33.0,49.0,51.0,36.0,37.0
200,2019 - 2020,Lancaster County Public Schools,1079.0,64.0,60.0,59.0,74.0,73.0,90.0,72.0,65.0,83.0,69.0,98.0,92.0,89.0,91.0
201,2019 - 2020,Lee County Public Schools,3192.0,213.0,233.0,209.0,233.0,229.0,233.0,236.0,225.0,233.0,240.0,248.0,242.0,223.0,195.0
202,2019 - 2020,Lexington City Public Schools,503.0,0.0,50.0,53.0,62.0,60.0,53.0,56.0,51.0,62.0,56.0,,,,
203,2019 - 2020,Loudoun County Public Schools,83936.0,844.0,5693.0,5803.0,6147.0,6206.0,6256.0,6448.0,6695.0,6787.0,6606.0,6784.0,6778.0,6439.0,6447.0
204,2019 - 2020,Louisa County Public Schools,4987.0,124.0,346.0,372.0,366.0,332.0,371.0,392.0,413.0,392.0,384.0,393.0,377.0,360.0,365.0
205,2019 - 2020,Lunenburg County Public Schools,1590.0,59.0,118.0,117.0,107.0,110.0,108.0,136.0,124.0,123.0,134.0,138.0,120.0,89.0,107.0
206,2019 - 2020,Lynchburg City Public Schools,8238.0,305.0,664.0,614.0,595.0,610.0,585.0,615.0,604.0,627.0,564.0,636.0,643.0,600.0,576.0
207,2019 - 2020,Madison County Public Schools,1726.0,65.0,107.0,107.0,106.0,127.0,131.0,122.0,133.0,143.0,144.0,147.0,138.0,114.0,142.0
208,2019 - 2020,Manassas City Public Schools,7789.0,261.0,579.0,595.0,607.0,561.0,584.0,595.0,588.0,619.0,577.0,553.0,587.0,548.0,535.0
209,2019 - 2020,Manassas Park City Public Schools,3641.0,135.0,235.0,227.0,263.0,254.0,249.0,301.0,278.0,291.0,295.0,298.0,304.0,274.0,237.0
210,2019 - 2020,Martinsville City Public Schools,1930.0,139.0,119.0,122.0,139.0,142.0,141.0,151.0,136.0,150.0,139.0,144.0,138.0,144.0,126.0
211,2019 - 2020,Mathews County Public Schools,1008.0,8.0,67.0,67.0,68.0,71.0,73.0,79.0,83.0,90.0,72.0,92.0,77.0,68.0,93.0
212,2019 - 2020,Mecklenburg County Public Schools,4205.0,194.0,303.0,292.0,289.0,303.0,311.0,321.0,297.0,296.0,323.0,336.0,330.0,317.0,293.0
213,2019 - 2020,Middlesex County Public Schools,1208.0,61.0,96.0,72.0,89.0,98.0,81.0,97.0,84.0,92.0,82.0,86.0,91.0,95.0,84.0
214,2019 - 2020,Montgomery County Public Schools,10102.0,286.0,720.0,757.0,797.0,748.0,769.0,731.0,775.0,818.0,724.0,805.0,718.0,783.0,671.0
215,2019 - 2020,Nelson County Public Schools,1695.0,42.0,98.0,96.0,122.0,114.0,116.0,125.0,128.0,144.0,136.0,141.0,158.0,143.0,132.0
216,2019 - 2020,New Kent County Public Schools,3354.0,69.0,224.0,235.0,255.0,242.0,236.0,260.0,265.0,280.0,287.0,290.0,245.0,237.0,229.0
217,2019 - 2020,Newport News City Public Schools,28655.0,1402.0,2242.0,2181.0,2189.0,2159.0,2208.0,2185.0,2151.0,2185.0,2046.0,2286.0,1953.0,1708.0,1760.0
218,2019 - 2020,Norfolk City Public Schools,29851.0,1863.0,2490.0,2437.0,2363.0,2316.0,2277.0,2279.0,2193.0,2158.0,1936.0,2776.0,1904.0,1230.0,1615.0
219,2019 - 2020,Northampton County Public Schools,1520.0,74.0,115.0,109.0,92.0,129.0,115.0,101.0,113.0,107.0,128.0,112.0,122.0,102.0,101.0
220,2019 - 2020,Northumberland County Public Schools,1279.0,63.0,81.0,100.0,79.0,97.0,89.0,92.0,94.0,81.0,93.0,110.0,103.0,87.0,110.0
221,2019 - 2020,Norton City Public Schools,818.0,34.0,70.0,54.0,45.0,50.0,64.0,61.0,59.0,59.0,65.0,68.0,78.0,59.0,52.0
222,2019 - 2020,Nottoway County Public Schools,1990.0,80.0,145.0,150.0,145.0,147.0,128.0,149.0,136.0,163.0,147.0,169.0,165.0,136.0,130.0
223,2019 - 2020,Orange County Public Schools,5092.0,227.0,355.0,364.0,370.0,390.0,362.0,375.0,385.0,406.0,360.0,400.0,390.0,315.0,393.0
224,2019 - 2020,Page County Public Schools,3354.0,98.0,234.0,235.0,228.0,208.0,219.0,266.0,260.0,230.0,282.0,279.0,296.0,273.0,246.0
225,2019 - 2020,Patrick County Public Schools,2558.0,71.0,384.0,230.0,160.0,171.0,169.0,147.0,185.0,168.0,192.0,188.0,175.0,181.0,137.0
226,2019 - 2020,Petersburg City Public Schools,4211.0,392.0,367.0,343.0,327.0,352.0,324.0,326.0,282.0,292.0,256.0,269.0,233.0,198.0,250.0
227,2019 - 2020,Pittsylvania County Public Schools,8723.0,298.0,547.0,566.0,587.0,612.0,584.0,653.0,713.0,671.0,724.0,776.0,690.0,627.0,675.0
228,2019 - 2020,Poquoson City Public Schools,2137.0,22.0,137.0,142.0,154.0,158.0,135.0,164.0,182.0,169.0,166.0,200.0,177.0,178.0,153.0
229,2019 - 2020,Portsmouth City Public Schools,13991.0,582.0,1090.0,1136.0,1138.0,1116.0,1143.0,1047.0,1065.0,986.0,921.0,1118.0,903.0,883.0,863.0
230,2019 - 2020,Powhatan County Public Schools,4356.0,69.0,307.0,282.0,285.0,333.0,316.0,305.0,336.0,330.0,372.0,384.0,361.0,335.0,341.0
231,2019 - 2020,Prince Edward County Public Schools,2057.0,107.0,153.0,127.0,161.0,138.0,154.0,154.0,164.0,148.0,141.0,179.0,183.0,125.0,123.0
232,2019 - 2020,Prince George County Public Schools,6353.0,125.0,485.0,485.0,487.0,471.0,470.0,504.0,512.0,528.0,501.0,448.0,482.0,414.0,441.0
233,2019 - 2020,Prince William County Public Schools,92270.0,1637.0,6287.0,6636.0,6803.0,6744.0,6856.0,7081.0,6993.0,7202.0,7284.0,7679.0,7401.0,6635.0,7032.0
234,2019 - 2020,Pulaski County Public Schools,4096.0,158.0,319.0,327.0,302.0,262.0,302.0,301.0,331.0,304.0,290.0,344.0,320.0,283.0,253.0
235,2019 - 2020,Radford City Public Schools,1642.0,45.0,124.0,116.0,120.0,117.0,101.0,126.0,120.0,141.0,135.0,131.0,128.0,114.0,124.0
236,2019 - 2020,Rappahannock County Public Schools,791.0,22.0,51.0,51.0,49.0,62.0,64.0,55.0,61.0,65.0,64.0,51.0,73.0,58.0,65.0
237,2019 - 2020,Richmond City Public Schools,25212.0,1667.0,1897.0,2052.0,2083.0,2069.0,2035.0,1949.0,1900.0,1959.0,1722.0,1861.0,1566.0,1312.0,1140.0
238,2019 - 2020,Richmond County Public Schools,1301.0,44.0,81.0,90.0,90.0,104.0,87.0,97.0,115.0,108.0,96.0,96.0,105.0,89.0,99.0
239,2019 - 2020,Roanoke City Public Schools,14049.0,565.0,1146.0,1155.0,1128.0,1084.0,1064.0,1056.0,1129.0,1067.0,969.0,1090.0,962.0,853.0,781.0
240,2019 - 2020,Roanoke County Public Schools,13999.0,304.0,906.0,1009.0,913.0,979.0,1044.0,1049.0,1116.0,1116.0,1137.0,1168.0,1090.0,1055.0,1113.0
241,2019 - 2020,Rockbridge County Public Schools,2819.0,72.0,183.0,192.0,174.0,165.0,177.0,191.0,220.0,234.0,208.0,278.0,262.0,256.0,207.0
242,2019 - 2020,Rockingham County Public Schools,11928.0,417.0,863.0,807.0,845.0,832.0,862.0,913.0,879.0,899.0,928.0,949.0,953.0,866.0,915.0
243,2019 - 2020,Russell County Public Schools,3715.0,183.0,301.0,248.0,253.0,242.0,246.0,264.0,294.0,272.0,281.0,322.0,249.0,274.0,286.0
244,2019 - 2020,Salem City Public Schools,3931.0,78.0,258.0,272.0,285.0,279.0,264.0,321.0,289.0,316.0,311.0,338.0,328.0,309.0,278.0
245,2019 - 2020,Scott County Public Schools,3512.0,113.0,266.0,262.0,264.0,247.0,282.0,276.0,254.0,259.0,292.0,260.0,260.0,242.0,235.0
246,2019 - 2020,Shenandoah County Public Schools,6006.0,145.0,396.0,429.0,455.0,426.0,430.0,433.0,493.0,469.0,465.0,455.0,471.0,469.0,467.0
247,2019 - 2020,Smyth County Public Schools,4269.0,147.0,290.0,306.0,293.0,313.0,292.0,302.0,331.0,361.0,328.0,360.0,334.0,334.0,278.0
248,2019 - 2020,Southampton County Public Schools,2803.0,145.0,198.0,223.0,175.0,181.0,219.0,191.0,246.0,234.0,185.0,196.0,199.0,219.0,192.0
249,2019 - 2020,Spotsylvania County Public Schools,23903.0,478.0,1616.0,1606.0,1637.0,1753.0,1745.0,1742.0,1921.0,1934.0,1841.0,2114.0,1946.0,1770.0,1798.0
250,2019 - 2020,Stafford County Public Schools,30120.0,600.0,1974.0,2009.0,2066.0,2159.0,2201.0,2230.0,2358.0,2397.0,2418.0,2590.0,2417.0,2340.0,2361.0
251,2019 - 2020,Staunton City Public Schools,2738.0,90.0,209.0,200.0,207.0,224.0,187.0,194.0,226.0,193.0,215.0,209.0,216.0,166.0,202.0
252,2019 - 2020,Suffolk City Public Schools,14323.0,513.0,1007.0,989.0,1049.0,1092.0,1071.0,1078.0,1112.0,1122.0,1121.0,1208.0,1148.0,1006.0,807.0
253,2019 - 2020,Surry County Public Schools,738.0,36.0,45.0,56.0,63.0,42.0,56.0,54.0,44.0,54.0,57.0,74.0,56.0,47.0,54.0
254,2019 - 2020,Sussex County Public Schools,1095.0,47.0,74.0,90.0,74.0,78.0,79.0,90.0,84.0,86.0,71.0,88.0,85.0,77.0,72.0
255,2019 - 2020,Tazewell County Public Schools,5587.0,148.0,402.0,400.0,385.0,392.0,381.0,407.0,431.0,442.0,451.0,487.0,436.0,382.0,441.0
256,2019 - 2020,Virginia Beach City Public Schools,68706.0,1444.0,4957.0,5119.0,5109.0,5065.0,5173.0,5213.0,5328.0,5260.0,5293.0,5631.0,5184.0,4971.0,4959.0
257,2019 - 2020,Virginia School for the Deaf and Blind-Staunton,80.0,5.0,2.0,3.0,7.0,6.0,8.0,10.0,5.0,9.0,25.0,,,,
258,2019 - 2020,Warren County Public Schools,5376.0,132.0,397.0,368.0,370.0,388.0,350.0,387.0,418.0,442.0,416.0,449.0,430.0,417.0,412.0
259,2019 - 2020,Washington County Public Schools,7052.0,217.0,447.0,483.0,502.0,445.0,511.0,556.0,532.0,575.0,545.0,559.0,565.0,549.0,566.0
260,2019 - 2020,Waynesboro City Public Schools,2961.0,82.0,208.0,207.0,220.0,238.0,221.0,236.0,248.0,221.0,223.0,247.0,207.0,218.0,185.0
261,2019 - 2020,West Point Public Schools,802.0,8.0,56.0,53.0,51.0,61.0,49.0,50.0,72.0,67.0,77.0,64.0,71.0,58.0,65.0
262,2019 - 2020,Westmoreland County Public Schools,1603.0,84.0,109.0,113.0,125.0,106.0,112.0,106.0,119.0,129.0,121.0,121.0,131.0,121.0,106.0
263,2019 - 2020,Williamsburg-James City County Public Schools,11805.0,317.0,789.0,812.0,832.0,902.0,833.0,857.0,886.0,894.0,881.0,943.0,1007.0,902.0,950.0
264,2019 - 2020,Winchester City Public Schools,4392.0,153.0,323.0,326.0,314.0,319.0,314.0,303.0,337.0,348.0,330.0,380.0,346.0,335.0,264.0
265,2019 - 2020,Wise County Public Schools,5632.0,239.0,413.0,417.0,387.0,389.0,432.0,438.0,446.0,466.0,405.0,421.0,406.0,360.0,412.0
266,2019 - 2020,Wythe County Public Schools,3982.0,116.0,278.0,285.0,293.0,268.0,271.0,294.0,297.0,319.0,331.0,327.0,307.0,315.0,281.0
267,2019 - 2020,York County Public Schools,13184.0,206.0,965.0,939.0,994.0,1001.0,965.0,957.0,1039.0,1016.0,1003.0,1095.0,989.0,1033.0,982.0
268,2020 - 2021,Accomack County Public Schools,4873.0,123.0,311.0,340.0,319.0,348.0,379.0,344.0,378.0,408.0,372.0,430.0,423.0,345.0,344.0
269,2020 - 2021,Albemarle County Public Schools,13532.0,219.0,854.0,1015.0,986.0,975.0,992.0,990.0,1072.0,1047.0,1064.0,1039.0,1132.0,1065.0,1082.0
270,2020 - 2021,Alexandria City Public Schools,15846.0,468.0,1265.0,1385.0,1361.0,1270.0,1262.0,1226.0,1129.0,1131.0,1168.0,1140.0,1135.0,912.0,993.0
271,2020 - 2021,Alleghany County Public Schools,1952.0,54.0,190.0,136.0,126.0,138.0,134.0,129.0,151.0,139.0,136.0,157.0,167.0,133.0,162.0
272,2020 - 2021,Amelia County Public Schools,1627.0,55.0,117.0,112.0,99.0,127.0,106.0,135.0,111.0,141.0,128.0,149.0,129.0,118.0,100.0
273,2020 - 2021,Amherst County Public Schools,4045.0,115.0,308.0,276.0,301.0,292.0,280.0,306.0,294.0,344.0,334.0,324.0,313.0,266.0,292.0
274,2020 - 2021,Appomattox County Public Schools,2272.0,59.0,152.0,181.0,171.0,171.0,156.0,173.0,182.0,178.0,170.0,178.0,153.0,182.0,166.0
275,2020 - 2021,Arlington County Public Schools,26833.0,654.0,1963.0,2099.0,2177.0,2118.0,2018.0,2047.0,2031.0,2006.0,2036.0,1884.0,2031.0,1862.0,1907.0
276,2020 - 2021,Augusta County Public Schools,10150.0,239.0,693.0,703.0,703.0,758.0,726.0,715.0,746.0,783.0,834.0,834.0,829.0,764.0,823.0
277,2020 - 2021,Bath County Public Schools,521.0,16.0,41.0,32.0,41.0,32.0,44.0,43.0,38.0,41.0,42.0,37.0,42.0,37.0,35.0
278,2020 - 2021,Bedford County Public Schools,9175.0,159.0,621.0,635.0,655.0,658.0,651.0,650.0,663.0,704.0,729.0,782.0,747.0,717.0,804.0
279,2020 - 2021,Bland County Public Schools,670.0,9.0,57.0,43.0,43.0,48.0,46.0,39.0,49.0,53.0,62.0,43.0,60.0,54.0,64.0
280,2020 - 2021,Botetourt County Public Schools,4431.0,77.0,315.0,298.0,296.0,312.0,300.0,299.0,328.0,320.0,353.0,372.0,388.0,392.0,381.0
281,2020 - 2021,Bristol City Public Schools,2214.0,89.0,161.0,186.0,165.0,168.0,157.0,177.0,151.0,171.0,153.0,170.0,164.0,163.0,139.0
282,2020 - 2021,Brunswick County Public Schools,1451.0,40.0,98.0,108.0,95.0,108.0,101.0,109.0,116.0,121.0,99.0,114.0,121.0,123.0,98.0
283,2020 - 2021,Buchanan County Public Schools,2516.0,97.0,156.0,155.0,167.0,167.0,180.0,196.0,190.0,208.0,178.0,210.0,200.0,203.0,209.0
284,2020 - 2021,Buckingham County Public Schools,2010.0,69.0,125.0,126.0,152.0,145.0,144.0,156.0,169.0,179.0,171.0,160.0,151.0,133.0,129.0
285,2020 - 2021,Buena Vista City Public Schools,916.0,34.0,84.0,61.0,64.0,66.0,58.0,62.0,71.0,71.0,68.0,65.0,76.0,64.0,72.0
286,2020 - 2021,Campbell County Public Schools,7787.0,245.0,591.0,517.0,567.0,532.0,541.0,600.0,566.0,618.0,655.0,604.0,564.0,615.0,572.0
287,2020 - 2021,Caroline County Public Schools,4131.0,102.0,321.0,326.0,312.0,298.0,348.0,311.0,309.0,311.0,307.0,326.0,322.0,271.0,267.0
288,2020 - 2021,Carroll County Public Schools,3552.0,146.0,239.0,258.0,257.0,258.0,253.0,245.0,272.0,277.0,281.0,269.0,290.0,250.0,257.0
289,2020 - 2021,Charles City County Public Schools,576.0,17.0,36.0,49.0,38.0,47.0,36.0,48.0,45.0,33.0,38.0,47.0,59.0,36.0,47.0
290,2020 - 2021,Charlotte County Public Schools,1726.0,66.0,117.0,126.0,129.0,126.0,121.0,111.0,129.0,130.0,107.0,142.0,147.0,154.0,121.0
291,2020 - 2021,Charlottesville City Public Schools,4265.0,199.0,307.0,305.0,345.0,356.0,329.0,327.0,301.0,325.0,268.0,321.0,325.0,293.0,258.0
292,2020 - 2021,Chesapeake City Public Schools,39673.0,658.0,2319.0,2640.0,2615.0,2870.0,2806.0,2936.0,3106.0,3171.0,3309.0,3346.0,3365.0,3256.0,3276.0
293,2020 - 2021,Chesterfield County Public Schools,60904.0,847.0,3636.0,4192.0,4437.0,4224.0,4587.0,4538.0,4838.0,4765.0,4964.0,5118.0,5108.0,4846.0,4804.0
294,2020 - 2021,Clarke County Public Schools,1745.0,20.0,98.0,94.0,104.0,99.0,135.0,107.0,127.0,145.0,149.0,187.0,154.0,169.0,157.0
295,2020 - 2021,Colonial Beach Public Schools,634.0,34.0,46.0,38.0,48.0,40.0,44.0,51.0,47.0,50.0,48.0,55.0,41.0,52.0,40.0
296,2020 - 2021,Colonial Heights City Public Schools,2784.0,52.0,202.0,205.0,220.0,213.0,181.0,220.0,216.0,230.0,212.0,210.0,226.0,190.0,207.0
297,2020 - 2021,Covington City Public Schools,1016.0,28.0,78.0,75.0,78.0,87.0,71.0,80.0,73.0,86.0,76.0,81.0,72.0,61.0,70.0
298,2020 - 2021,Craig County Public Schools,546.0,14.0,33.0,32.0,45.0,41.0,28.0,44.0,39.0,46.0,55.0,44.0,38.0,47.0,40.0
299,2020 - 2021,Culpeper County Public Schools,8257.0,256.0,504.0,609.0,560.0,617.0,579.0,591.0,625.0,663.0,663.0,725.0,666.0,640.0,558.0
300,2020 - 2021,Cumberland County Public Schools,1223.0,65.0,75.0,87.0,91.0,86.0,83.0,74.0,88.0,94.0,98.0,97.0,104.0,83.0,98.0
301,2020 - 2021,Danville City Public Schools,5505.0,134.0,408.0,438.0,432.0,439.0,426.0,401.0,469.0,406.0,402.0,422.0,407.0,360.0,361.0
302,2020 - 2021,Department of Juvenile Justice,91.0,1.0,1.0,26.0,17.0,31.0,15.0,,,,,,,,
303,2020 - 2021,Dickenson County Public Schools,1967.0,66.0,135.0,128.0,160.0,155.0,151.0,123.0,161.0,149.0,148.0,165.0,153.0,149.0,124.0
304,2020 - 2021,Dinwiddie County Public Schools,4209.0,65.0,277.0,319.0,320.0,315.0,321.0,301.0,332.0,323.0,327.0,364.0,318.0,325.0,302.0
305,2020 - 2021,Essex County Public Schools,1224.0,32.0,65.0,83.0,77.0,81.0,76.0,94.0,103.0,103.0,97.0,99.0,110.0,107.0,97.0
306,2020 - 2021,Fairfax County Public Schools,180076.0,3478.0,10861.0,12480.0,12777.0,12780.0,13277.0,13174.0,13553.0,14294.0,14187.0,14691.0,15001.0,14807.0,14716.0
307,2020 - 2021,Falls Church City Public Schools,2500.0,51.0,130.0,167.0,162.0,163.0,188.0,183.0,157.0,230.0,210.0,205.0,218.0,226.0,210.0
308,2020 - 2021,Fauquier County Public Schools,10299.0,111.0,633.0,653.0,651.0,703.0,723.0,728.0,751.0,843.0,797.0,903.0,940.0,914.0,942.0
309,2020 - 2021,Floyd County Public Schools,1833.0,52.0,121.0,127.0,124.0,117.0,128.0,135.0,115.0,142.0,152.0,162.0,150.0,165.0,143.0
310,2020 - 2021,Fluvanna County Public Schools,3297.0,50.0,159.0,202.0,203.0,210.0,230.0,228.0,277.0,283.0,266.0,326.0,299.0,299.0,265.0
311,2020 - 2021,Franklin City Public Schools,1028.0,48.0,60.0,69.0,74.0,80.0,74.0,90.0,77.0,90.0,73.0,80.0,83.0,63.0,67.0
312,2020 - 2021,Franklin County Public Schools,6533.0,256.0,425.0,429.0,465.0,469.0,447.0,488.0,516.0,527.0,495.0,544.0,526.0,471.0,475.0
313,2020 - 2021,Frederick County Public Schools,13521.0,118.0,908.0,917.0,940.0,971.0,941.0,989.0,1045.0,1088.0,1174.0,1163.0,1090.0,1075.0,1102.0
314,2020 - 2021,Fredericksburg City Public Schools,3551.0,138.0,246.0,320.0,300.0,287.0,256.0,241.0,258.0,276.0,263.0,254.0,257.0,232.0,217.0
315,2020 - 2021,Galax City Public Schools,1323.0,55.0,88.0,101.0,104.0,103.0,97.0,101.0,114.0,100.0,119.0,91.0,94.0,77.0,79.0
316,2020 - 2021,Giles County Public Schools,2300.0,61.0,141.0,175.0,172.0,193.0,148.0,154.0,170.0,171.0,156.0,185.0,179.0,180.0,215.0
317,2020 - 2021,Gloucester County Public Schools,5044.0,111.0,332.0,352.0,348.0,363.0,352.0,373.0,408.0,404.0,392.0,372.0,375.0,427.0,435.0
318,2020 - 2021,Goochland County Public Schools,2582.0,79.0,142.0,170.0,162.0,193.0,178.0,188.0,181.0,235.0,197.0,225.0,212.0,207.0,213.0
319,2020 - 2021,Grayson County Public Schools,1517.0,44.0,93.0,125.0,123.0,107.0,123.0,110.0,101.0,110.0,127.0,116.0,120.0,92.0,126.0
320,2020 - 2021,Greene County Public Schools,2928.0,27.0,175.0,217.0,181.0,212.0,205.0,210.0,250.0,244.0,251.0,271.0,231.0,226.0,228.0
321,2020 - 2021,Greensville County Public Schools,2137.0,87.0,117.0,158.0,153.0,147.0,167.0,144.0,166.0,199.0,168.0,153.0,147.0,156.0,175.0
322,2020 - 2021,Halifax County Public Schools,4691.0,236.0,359.0,331.0,333.0,289.0,287.0,334.0,341.0,374.0,370.0,368.0,362.0,374.0,333.0
323,2020 - 2021,Hampton City Public Schools,19225.0,458.0,1239.0,1440.0,1421.0,1399.0,1375.0,1479.0,1447.0,1503.0,1556.0,1621.0,1613.0,1374.0,1300.0
324,2020 - 2021,Hanover County Public Schools,16519.0,173.0,947.0,1067.0,1091.0,1116.0,1198.0,1224.0,1294.0,1322.0,1355.0,1447.0,1430.0,1428.0,1427.0
325,2020 - 2021,Harrisonburg City Public Schools,6508.0,315.0,487.0,475.0,475.0,504.0,480.0,470.0,461.0,495.0,454.0,517.0,480.0,482.0,413.0
326,2020 - 2021,Henrico County Public Schools,50191.0,973.0,3150.0,3584.0,3596.0,3637.0,3618.0,3632.0,3808.0,3982.0,4031.0,4420.0,4135.0,3918.0,3707.0
327,2020 - 2021,Henry County Public Schools,7130.0,296.0,413.0,487.0,501.0,520.0,501.0,498.0,597.0,562.0,566.0,609.0,544.0,508.0,528.0
