,Year,Division,All,PK,KG,1,2,3,4,5,6,7,8,9,10,11,12
37,2018 - 2019,Essex County Public Schools,1322.0,36.0,80.0,97.0,86.0,99.0,103.0,102.0,99.0,97.0,107.0,105.0,115.0,101.0,95.0
38,2018 - 2019,Fairfax County Public Schools,187830.0,3989.0,13012.0,13231.0,13648.0,13607.0,13906.0,14657.0,14250.0,14242.0,14141.0,14941.0,14565.0,14958.0,14683.0
39,2018 - 2019,Falls Church City Public Schools,2621.0,70.0,165.0,180.0,189.0,188.0,175.0,230.0,194.0,209.0,196.0,220.0,201.0,196.0,208.0
40,2018 - 2019,Fauquier County Public Schools,11189.0,141.0,722.0,783.0,775.0,775.0,768.0,873.0,837.0,875.0,848.0,981.0,894.0,937.0,980.0
41,2018 - 2019,Floyd County Public Schools,1975.0,65.0,132.0,129.0,133.0,146.0,127.0,142.0,169.0,139.0,155.0,179.0,150.0,152.0,157.0
42,2018 - 2019,Fluvanna County Public Schools,3590.0,86.0,215.0,235.0,234.0,223.0,260.0,289.0,286.0,298.0,303.0,334.0,276.0,294.0,257.0
43,2018 - 2019,Franklin City Public Schools,1075.0,65.0,76.0,84.0,75.0,90.0,78.0,80.0,74.0,70.0,79.0,90.0,84.0,57.0,73.0
44,2018 - 2019,Franklin County Public Schools,7062.0,261.0,506.0,490.0,483.0,507.0,572.0,565.0,526.0,550.0,519.0,569.0,532.0,464.0,518.0
45,2018 - 2019,Frederick County Public Schools,13627.0,119.0,993.0,958.0,954.0,989.0,1037.0,1050.0,1128.0,1071.0,1044.0,1142.0,1108.0,993.0,1041.0
46,2018 - 2019,Fredericksburg City Public Schools,3711.0,185.0,340.0,302.0,274.0,266.0,273.0,296.0,278.0,243.0,242.0,286.0,231.0,254.0,240.0
47,2018 - 2019,Galax City Public Schools,1321.0,60.0,109.0,100.0,94.0,100.0,115.0,100.0,109.0,84.0,99.0,81.0,82.0,90.0,98.0
48,2018 - 2019,Giles County Public Schools,2448.0,89.0,193.0,200.0,164.0,160.0,167.0,170.0,158.0,182.0,186.0,179.0,216.0,172.0,212.0
49,2018 - 2019,Gloucester County Public Schools,5408.0,149.0,353.0,386.0,368.0,403.0,411.0,421.0,395.0,372.0,377.0,480.0,462.0,441.0,390.0
50,2018 - 2019,Goochland County Public Schools,2677.0,91.0,173.0,192.0,169.0,183.0,176.0,207.0,203.0,216.0,212.0,215.0,213.0,203.0,224.0
51,2018 - 2019,Grayson County Public Schools,1542.0,45.0,125.0,110.0,119.0,113.0,99.0,115.0,129.0,116.0,123.0,97.0,125.0,116.0,110.0
52,2018 - 2019,Greene County Public Schools,3001.0,40.0,188.0,199.0,209.0,215.0,246.0,242.0,247.0,238.0,246.0,248.0,235.0,226.0,222.0
53,2018 - 2019,Greensville County Public Schools,2243.0,113.0,156.0,138.0,175.0,143.0,166.0,207.0,171.0,165.0,144.0,156.0,187.0,147.0,175.0
54,2018 - 2019,Halifax County Public Schools,4960.0,290.0,370.0,316.0,306.0,349.0,358.0,371.0,369.0,381.0,363.0,390.0,385.0,373.0,339.0
55,2018 - 2019,Hampton City Public Schools,19594.0,659.0,1415.0,1424.0,1380.0,1458.0,1451.0,1472.0,1547.0,1379.0,1471.0,1801.0,1530.0,1356.0,1251.0
56,2018 - 2019,Hanover County Public Schools,17727.0,264.0,1158.0,1146.0,1223.0,1231.0,1299.0,1318.0,1371.0,1421.0,1409.0,1524.0,1471.0,1412.0,1480.0
57,2018 - 2019,Harrisonburg City Public Schools,6440.0,319.0,473.0,502.0,485.0,464.0,454.0,498.0,454.0,477.0,442.0,520.0,471.0,422.0,459.0
58,2018 - 2019,Henrico County Public Schools,51523.0,1126.0,3633.0,3710.0,3661.0,3756.0,3846.0,3935.0,4007.0,4128.0,3889.0,4293.0,3967.0,3832.0,3740.0
59,2018 - 2019,Henry County Public Schools,7455.0,318.0,528.0,532.0,521.0,533.0,581.0,567.0,571.0,556.0,553.0,624.0,543.0,534.0,494.0
