Year,Level,Division,Grade,Count
2018 - 2019,DIV,Arlington County Public Schools,6,2124
2018 - 2019,DIV,Arlington County Public Schools,7,1869
2018 - 2019,DIV,Arlington County Public Schools,8,1966
2018 - 2019,DIV,Arlington County Public Schools,9,1873
2018 - 2019,DIV,Arlington County Public Schools,10,1797
2018 - 2019,DIV,Arlington County Public Schools,11,1748
2018 - 2019,DIV,Arlington County Public Schools,12,1868
2018 - 2019,DIV,Augusta County Public Schools,,10407
2018 - 2019,DIV,Augusta County Public Schools,PK,330
2018 - 2019,DIV,Augusta County Public Schools,KG,703
2018 - 2019,DIV,Augusta County Public Schools,1,750
2018 - 2019,DIV,Augusta County Public Schools,2,701
2018 - 2019,DIV,Augusta County Public Schools,3,718
2018 - 2019,DIV,Augusta County Public Schools,4,750
2018 - 2019,DIV,Augusta County Public Schools,5,762
2018 - 2019,DIV,Augusta County Public Schools,6,847
2018 - 2019,DIV,Augusta County Public Schools,7,802
2018 - 2019,DIV,Augusta County Public Schools,8,822
2018 - 2019,DIV,Augusta County Public Schools,9,840
2018 - 2019,DIV,Augusta County Public Schools,10,838
2018 - 2019,DIV,Augusta County Public Schools,11,775
2018 - 2019,DIV,Augusta County Public Schools,12,769
2018 - 2019,DIV,Bath County Public Schools,,543
2018 - 2019,DIV,Bath County Public Schools,PK,31
2018 - 2019,DIV,Bath County Public Schools,KG,45
2018 - 2019,DIV,Bath County Public Schools,1,36
2018 - 2019,DIV,Bath County Public Schools,2,43
2018 - 2019,DIV,Bath County Public Schools,3,36
2018 - 2019,DIV,Bath County Public Schools,4,39
2018 - 2019,DIV,Bath County Public Schools,5,38
2018 - 2019,DIV,Bath County Public Schools,6,38
2018 - 2019,DIV,Bath County Public Schools,7,35
2018 - 2019,DIV,Bath County Public Schools,8,38
2018 - 2019,DIV,Bath County Public Schools,9,41
2018 - 2019,DIV,Bath County Public Schools,10,43
2018 - 2019,DIV,Bath County Public Schools,11,35
2018 - 2019,DIV,Bath County Public Schools,12,45
2018 - 2019,DIV,Bedford County Public Schools,,9634
2018 - 2019,DIV,Bedford County Public Schools,PK,152
2018 - 2019,DIV,Bedford County Public Schools,KG,691
2018 - 2019,DIV,Bedford County Public Schools,1,675
2018 - 2019,DIV,Bedford County Public Schools,2,707
2018 - 2019,DIV,Bedford County Public Schools,3,681
2018 - 2019,DIV,Bedford County Public Schools,4,696
2018 - 2019,DIV,Bedford County Public Schools,5,704
2018 - 2019,DIV,Bedford County Public Schools,6,728
2018 - 2019,DIV,Bedford County Public Schools,7,748
2018 - 2019,DIV,Bedford County Public Schools,8,734
2018 - 2019,DIV,Bedford County Public Schools,9,798
2018 - 2019,DIV,Bedford County Public Schools,10,807
2018 - 2019,DIV,Bedford County Public Schools,11,741
2018 - 2019,DIV,Bedford County Public Schools,12,772
2018 - 2019,DIV,Bland County Public Schools,,736
2018 - 2019,DIV,Bland County Public Schools,PK,9
2018 - 2019,DIV,Bland County Public Schools,KG,46
2018 - 2019,DIV,Bland County Public Schools,1,51
2018 - 2019,DIV,Bland County Public Schools,2,50
2018 - 2019,DIV,Bland County Public Schools,3,47
2018 - 2019,DIV,Bland County Public Schools,4,49
2018 - 2019,DIV,Bland County Public Schools,5,58
2018 - 2019,DIV,Bland County Public Schools,6,62
2018 - 2019,DIV,Bland County Public Schools,7,50
2018 - 2019,DIV,Bland County Public Schools,8,69
2018 - 2019,DIV,Bland County Public Schools,9,60
