Year,Level,Division,Grade,Count
2018 - 2019,DIV,King George County Public Schools,9,415
2018 - 2019,DIV,King George County Public Schools,10,320
2018 - 2019,DIV,King George County Public Schools,11,286
2018 - 2019,DIV,King George County Public Schools,12,320
2018 - 2019,DIV,King William County Public Schools,,2227
2018 - 2019,DIV,King William County Public Schools,PK,18
2018 - 2019,DIV,King William County Public Schools,KG,158
2018 - 2019,DIV,King William County Public Schools,1,139
2018 - 2019,DIV,King William County Public Schools,2,154
2018 - 2019,DIV,King William County Public Schools,3,173
2018 - 2019,DIV,King William County Public Schools,4,142
2018 - 2019,DIV,King William County Public Schools,5,185
2018 - 2019,DIV,King William County Public Schools,6,178
2018 - 2019,DIV,King William County Public Schools,7,157
2018 - 2019,DIV,King William County Public Schools,8,201
2018 - 2019,DIV,King William County Public Schools,9,184
2018 - 2019,DIV,King William County Public Schools,10,182
2018 - 2019,DIV,King William County Public Schools,11,186
2018 - 2019,DIV,King William County Public Schools,12,170
2018 - 2019,DIV,King and Queen County Public Schools,,829
2018 - 2019,DIV,King and Queen County Public Schools,PK,47
2018 - 2019,DIV,King and Queen County Public Schools,KG,47
2018 - 2019,DIV,King and Queen County Public Schools,1,86
2018 - 2019,DIV,King and Queen County Public Schools,2,194
2018 - 2019,DIV,King and Queen County Public Schools,3,53
2018 - 2019,DIV,King and Queen County Public Schools,4,43
2018 - 2019,DIV,King and Queen County Public Schools,5,53
2018 - 2019,DIV,King and Queen County Public Schools,6,62
2018 - 2019,DIV,King and Queen County Public Schools,7,38
2018 - 2019,DIV,King and Queen County Public Schools,8,47
2018 - 2019,DIV,King and Queen County Public Schools,9,50
2018 - 2019,DIV,King and Queen County Public Schools,10,37
2018 - 2019,DIV,King and Queen County Public Schools,11,38
2018 - 2019,DIV,King and Queen County Public Schools,12,34
2018 - 2019,DIV,Lancaster County Public Schools,,1137
2018 - 2019,DIV,Lancaster County Public Schools,PG,1
2018 - 2019,DIV,Lancaster County Public Schools,PK,81
2018 - 2019,DIV,Lancaster County Public Schools,KG,64
2018 - 2019,DIV,Lancaster County Public Schools,1,72
2018 - 2019,DIV,Lancaster County Public Schools,2,75
2018 - 2019,DIV,Lancaster County Public Schools,3,89
2018 - 2019,DIV,Lancaster County Public Schools,4,70
2018 - 2019,DIV,Lancaster County Public Schools,5,66
2018 - 2019,DIV,Lancaster County Public Schools,6,86
2018 - 2019,DIV,Lancaster County Public Schools,7,68
2018 - 2019,DIV,Lancaster County Public Schools,8,84
2018 - 2019,DIV,Lancaster County Public Schools,9,103
2018 - 2019,DIV,Lancaster County Public Schools,10,97
2018 - 2019,DIV,Lancaster County Public Schools,11,84
2018 - 2019,DIV,Lancaster County Public Schools,12,97
2018 - 2019,DIV,Lee County Public Schools,,3254
2018 - 2019,DIV,Lee County Public Schools,PK,225
2018 - 2019,DIV,Lee County Public Schools,KG,223
2018 - 2019,DIV,Lee County Public Schools,1,240
2018 - 2019,DIV,Lee County Public Schools,2,234
2018 - 2019,DIV,Lee County Public Schools,3,239
2018 - 2019,DIV,Lee County Public Schools,4,236
2018 - 2019,DIV,Lee County Public Schools,5,228
2018 - 2019,DIV,Lee County Public Schools,6,236
2018 - 2019,DIV,Lee County Public Schools,7,226
2018 - 2019,DIV,Lee County Public Schools,8,225
2018 - 2019,DIV,Lee County Public Schools,9,262
2018 - 2019,DIV,Lee County Public Schools,10,259
2018 - 2019,DIV,Lee County Public Schools,11,225
2018 - 2019,DIV,Lee County Public Schools,12,196
2018 - 2019,DIV,Lexington City Public Schools,,522
2018 - 2019,DIV,Lexington City Public Schools,PK,0
2018 - 2019,DIV,Lexington City Public Schools,KG,50
2018 - 2019,DIV,Lexington City Public Schools,1,63
2018 - 2019,DIV,Lexington City Public Schools,2,62
2018 - 2019,DIV,Lexington City Public Schools,3,53
2018 - 2019,DIV,Lexington City Public Schools,4,55
2018 - 2019,DIV,Lexington City Public Schools,5,50
2018 - 2019,DIV,Lexington City Public Schools,6,62
2018 - 2019,DIV,Lexington City Public Schools,7,58
2018 - 2019,DIV,Lexington City Public Schools,8,69
2018 - 2019,DIV,Loudoun County Public Schools,,82246
2018 - 2019,DIV,Loudoun County Public Schools,PG,8
2018 - 2019,DIV,Loudoun County Public Schools,PK,846
2018 - 2019,DIV,Loudoun County Public Schools,KG,5405
2018 - 2019,DIV,Loudoun County Public Schools,1,5920
2018 - 2019,DIV,Loudoun County Public Schools,2,6053
2018 - 2019,DIV,Loudoun County Public Schools,3,6082
2018 - 2019,DIV,Loudoun County Public Schools,4,6306
2018 - 2019,DIV,Loudoun County Public Schools,5,6537
2018 - 2019,DIV,Loudoun County Public Schools,6,6660
2018 - 2019,DIV,Loudoun County Public Schools,7,6445
2018 - 2019,DIV,Loudoun County Public Schools,8,6434
2018 - 2019,DIV,Loudoun County Public Schools,9,6714
2018 - 2019,DIV,Loudoun County Public Schools,10,6419
2018 - 2019,DIV,Loudoun County Public Schools,11,6399
2018 - 2019,DIV,Loudoun County Public Schools,12,6018
2018 - 2019,DIV,Louisa County Public Schools,,4906
2018 - 2019,DIV,Louisa County Public Schools,PK,116
2018 - 2019,DIV,Louisa County Public Schools,KG,351
2018 - 2019,DIV,Louisa County Public Schools,1,362
2018 - 2019,DIV,Louisa County Public Schools,2,334
2018 - 2019,DIV,Louisa County Public Schools,3,365
2018 - 2019,DIV,Louisa County Public Schools,4,387
2018 - 2019,DIV,Louisa County Public Schools,5,407
2018 - 2019,DIV,Louisa County Public Schools,6,381
2018 - 2019,DIV,Louisa County Public Schools,7,379
2018 - 2019,DIV,Louisa County Public Schools,8,390
2018 - 2019,DIV,Louisa County Public Schools,9,379
2018 - 2019,DIV,Louisa County Public Schools,10,359
2018 - 2019,DIV,Louisa County Public Schools,11,352
2018 - 2019,DIV,Louisa County Public Schools,12,344
2018 - 2019,DIV,Lunenburg County Public Schools,,1551
2018 - 2019,DIV,Lunenburg County Public Schools,PK,69
2018 - 2019,DIV,Lunenburg County Public Schools,KG,102
2018 - 2019,DIV,Lunenburg County Public Schools,1,114
2018 - 2019,DIV,Lunenburg County Public Schools,2,104
2018 - 2019,DIV,Lunenburg County Public Schools,3,98
2018 - 2019,DIV,Lunenburg County Public Schools,4,129
2018 - 2019,DIV,Lunenburg County Public Schools,5,117
2018 - 2019,DIV,Lunenburg County Public Schools,6,118
2018 - 2019,DIV,Lunenburg County Public Schools,7,141
2018 - 2019,DIV,Lunenburg County Public Schools,8,125
2018 - 2019,DIV,Lunenburg County Public Schools,9,129
2018 - 2019,DIV,Lunenburg County Public Schools,10,120
2018 - 2019,DIV,Lunenburg County Public Schools,11,75
2018 - 2019,DIV,Lunenburg County Public Schools,12,110
2018 - 2019,DIV,Lynchburg City Public Schools,,8286
2018 - 2019,DIV,Lynchburg City Public Schools,PK,305
2018 - 2019,DIV,Lynchburg City Public Schools,KG,630
2018 - 2019,DIV,Lynchburg City Public Schools,1,625
2018 - 2019,DIV,Lynchburg City Public Schools,2,626
2018 - 2019,DIV,Lynchburg City Public Schools,3,594
2018 - 2019,DIV,Lynchburg City Public Schools,4,623
2018 - 2019,DIV,Lynchburg City Public Schools,5,625
2018 - 2019,DIV,Lynchburg City Public Schools,6,626
2018 - 2019,DIV,Lynchburg City Public Schools,7,595
2018 - 2019,DIV,Lynchburg City Public Schools,8,601
2018 - 2019,DIV,Lynchburg City Public Schools,9,660
2018 - 2019,DIV,Lynchburg City Public Schools,10,632
2018 - 2019,DIV,Lynchburg City Public Schools,11,587
2018 - 2019,DIV,Lynchburg City Public Schools,12,557
2018 - 2019,DIV,Madison County Public Schools,,1743
2018 - 2019,DIV,Madison County Public Schools,PK,51
2018 - 2019,DIV,Madison County Public Schools,KG,107
2018 - 2019,DIV,Madison County Public Schools,1,101
2018 - 2019,DIV,Madison County Public Schools,2,133
2018 - 2019,DIV,Madison County Public Schools,3,128
2018 - 2019,DIV,Madison County Public Schools,4,123
2018 - 2019,DIV,Madison County Public Schools,5,130
2018 - 2019,DIV,Madison County Public Schools,6,139
2018 - 2019,DIV,Madison County Public Schools,7,142
2018 - 2019,DIV,Madison County Public Schools,8,146
2018 - 2019,DIV,Madison County Public Schools,9,145
2018 - 2019,DIV,Madison County Public Schools,10,133
2018 - 2019,DIV,Madison County Public Schools,11,139
2018 - 2019,DIV,Madison County Public Schools,12,126
2018 - 2019,DIV,Manassas City Public Schools,,7723
2018 - 2019,DIV,Manassas City Public Schools,PK,262
2018 - 2019,DIV,Manassas City Public Schools,KG,558
2018 - 2019,DIV,Manassas City Public Schools,1,610
2018 - 2019,DIV,Manassas City Public Schools,2,571
2018 - 2019,DIV,Manassas City Public Schools,3,568
2018 - 2019,DIV,Manassas City Public Schools,4,615
2018 - 2019,DIV,Manassas City Public Schools,5,589
2018 - 2019,DIV,Manassas City Public Schools,6,598
2018 - 2019,DIV,Manassas City Public Schools,7,585
2018 - 2019,DIV,Manassas City Public Schools,8,558
2018 - 2019,DIV,Manassas City Public Schools,9,618
2018 - 2019,DIV,Manassas City Public Schools,10,569
2018 - 2019,DIV,Manassas City Public Schools,11,524
2018 - 2019,DIV,Manassas City Public Schools,12,498
2018 - 2019,DIV,Manassas Park City Public Schools,,3724
2018 - 2019,DIV,Manassas Park City Public Schools,PK,125
2018 - 2019,DIV,Manassas Park City Public Schools,KG,246
2018 - 2019,DIV,Manassas Park City Public Schools,1,261
2018 - 2019,DIV,Manassas Park City Public Schools,2,271
2018 - 2019,DIV,Manassas Park City Public Schools,3,248
2018 - 2019,DIV,Manassas Park City Public Schools,4,309
2018 - 2019,DIV,Manassas Park City Public Schools,5,274
2018 - 2019,DIV,Manassas Park City Public Schools,6,286
2018 - 2019,DIV,Manassas Park City Public Schools,7,285
2018 - 2019,DIV,Manassas Park City Public Schools,8,263
2018 - 2019,DIV,Manassas Park City Public Schools,9,311
2018 - 2019,DIV,Manassas Park City Public Schools,10,287
2018 - 2019,DIV,Manassas Park City Public Schools,11,257
2018 - 2019,DIV,Manassas Park City Public Schools,12,301
2018 - 2019,DIV,Martinsville City Public Schools,,1942
2018 - 2019,DIV,Martinsville City Public Schools,PK,139
2018 - 2019,DIV,Martinsville City Public Schools,KG,122
2018 - 2019,DIV,Martinsville City Public Schools,1,140
2018 - 2019,DIV,Martinsville City Public Schools,2,140
2018 - 2019,DIV,Martinsville City Public Schools,3,135
2018 - 2019,DIV,Martinsville City Public Schools,4,151
2018 - 2019,DIV,Martinsville City Public Schools,5,138
2018 - 2019,DIV,Martinsville City Public Schools,6,154
2018 - 2019,DIV,Martinsville City Public Schools,7,140
2018 - 2019,DIV,Martinsville City Public Schools,8,130
2018 - 2019,DIV,Martinsville City Public Schools,9,152
2018 - 2019,DIV,Martinsville City Public Schools,10,145
2018 - 2019,DIV,Martinsville City Public Schools,11,118
2018 - 2019,DIV,Martinsville City Public Schools,12,138
2018 - 2019,DIV,Mathews County Public Schools,,1064
2018 - 2019,DIV,Mathews County Public Schools,PK,7
2018 - 2019,DIV,Mathews County Public Schools,KG,65
2018 - 2019,DIV,Mathews County Public Schools,1,69
2018 - 2019,DIV,Mathews County Public Schools,2,75
2018 - 2019,DIV,Mathews County Public Schools,3,73
2018 - 2019,DIV,Mathews County Public Schools,4,82
2018 - 2019,DIV,Mathews County Public Schools,5,80
2018 - 2019,DIV,Mathews County Public Schools,6,87
2018 - 2019,DIV,Mathews County Public Schools,7,72
2018 - 2019,DIV,Mathews County Public Schools,8,87
2018 - 2019,DIV,Mathews County Public Schools,9,89
2018 - 2019,DIV,Mathews County Public Schools,10,77
2018 - 2019,DIV,Mathews County Public Schools,11,112
2018 - 2019,DIV,Mathews County Public Schools,12,89
2018 - 2019,DIV,Mecklenburg County Public Schools,,4215
2018 - 2019,DIV,Mecklenburg County Public Schools,PK,200
2018 - 2019,DIV,Mecklenburg County Public Schools,KG,272
2018 - 2019,DIV,Mecklenburg County Public Schools,1,292
2018 - 2019,DIV,Mecklenburg County Public Schools,2,308
2018 - 2019,DIV,Mecklenburg County Public Schools,3,297
2018 - 2019,DIV,Mecklenburg County Public Schools,4,316
2018 - 2019,DIV,Mecklenburg County Public Schools,5,305
2018 - 2019,DIV,Mecklenburg County Public Schools,6,291
2018 - 2019,DIV,Mecklenburg County Public Schools,7,325
2018 - 2019,DIV,Mecklenburg County Public Schools,8,311
2018 - 2019,DIV,Mecklenburg County Public Schools,9,352
2018 - 2019,DIV,Mecklenburg County Public Schools,10,352
2018 - 2019,DIV,Mecklenburg County Public Schools,11,286
2018 - 2019,DIV,Mecklenburg County Public Schools,12,308
2018 - 2019,DIV,Middlesex County Public Schools,,1223
2018 - 2019,DIV,Middlesex County Public Schools,PG,1
2018 - 2019,DIV,Middlesex County Public Schools,PK,50
2018 - 2019,DIV,Middlesex County Public Schools,KG,76
2018 - 2019,DIV,Middlesex County Public Schools,1,83
2018 - 2019,DIV,Middlesex County Public Schools,2,93
2018 - 2019,DIV,Middlesex County Public Schools,3,76
2018 - 2019,DIV,Middlesex County Public Schools,4,97
2018 - 2019,DIV,Middlesex County Public Schools,5,89
2018 - 2019,DIV,Middlesex County Public Schools,6,93
2018 - 2019,DIV,Middlesex County Public Schools,7,87
2018 - 2019,DIV,Middlesex County Public Schools,8,102
2018 - 2019,DIV,Middlesex County Public Schools,9,102
2018 - 2019,DIV,Middlesex County Public Schools,10,96
2018 - 2019,DIV,Middlesex County Public Schools,11,89
2018 - 2019,DIV,Middlesex County Public Schools,12,89
2018 - 2019,DIV,Montgomery County Public Schools,,9978
2018 - 2019,DIV,Montgomery County Public Schools,PK,279
2018 - 2019,DIV,Montgomery County Public Schools,KG,726
2018 - 2019,DIV,Montgomery County Public Schools,1,787
2018 - 2019,DIV,Montgomery County Public Schools,2,737
2018 - 2019,DIV,Montgomery County Public Schools,3,782
2018 - 2019,DIV,Montgomery County Public Schools,4,716
2018 - 2019,DIV,Montgomery County Public Schools,5,767
2018 - 2019,DIV,Montgomery County Public Schools,6,795
2018 - 2019,DIV,Montgomery County Public Schools,7,723
2018 - 2019,DIV,Montgomery County Public Schools,8,735
2018 - 2019,DIV,Montgomery County Public Schools,9,731
2018 - 2019,DIV,Montgomery County Public Schools,10,795
2018 - 2019,DIV,Montgomery County Public Schools,11,671
2018 - 2019,DIV,Montgomery County Public Schools,12,734
2018 - 2019,DIV,Nelson County Public Schools,,1807
2018 - 2019,DIV,Nelson County Public Schools,PK,43
2018 - 2019,DIV,Nelson County Public Schools,KG,100
2018 - 2019,DIV,Nelson County Public Schools,1,125
2018 - 2019,DIV,Nelson County Public Schools,2,114
2018 - 2019,DIV,Nelson County Public Schools,3,120
2018 - 2019,DIV,Nelson County Public Schools,4,128
2018 - 2019,DIV,Nelson County Public Schools,5,127
2018 - 2019,DIV,Nelson County Public Schools,6,148
2018 - 2019,DIV,Nelson County Public Schools,7,139
2018 - 2019,DIV,Nelson County Public Schools,8,131
2018 - 2019,DIV,Nelson County Public Schools,9,172
2018 - 2019,DIV,Nelson County Public Schools,10,171
2018 - 2019,DIV,Nelson County Public Schools,11,141
2018 - 2019,DIV,Nelson County Public Schools,12,148
2018 - 2019,DIV,New Kent County Public Schools,,3307
2018 - 2019,DIV,New Kent County Public Schools,PK,62
2018 - 2019,DIV,New Kent County Public Schools,KG,219
2018 - 2019,DIV,New Kent County Public Schools,1,242
2018 - 2019,DIV,New Kent County Public Schools,2,236
2018 - 2019,DIV,New Kent County Public Schools,3,240
2018 - 2019,DIV,New Kent County Public Schools,4,251
2018 - 2019,DIV,New Kent County Public Schools,5,253
2018 - 2019,DIV,New Kent County Public Schools,6,285
2018 - 2019,DIV,New Kent County Public Schools,7,280
2018 - 2019,DIV,New Kent County Public Schools,8,273
2018 - 2019,DIV,New Kent County Public Schools,9,254
2018 - 2019,DIV,New Kent County Public Schools,10,246
2018 - 2019,DIV,New Kent County Public Schools,11,233
2018 - 2019,DIV,New Kent County Public Schools,12,233
2018 - 2019,DIV,Newport News City Public Schools,,28654
2018 - 2019,DIV,Newport News City Public Schools,PK,1465
2018 - 2019,DIV,Newport News City Public Schools,KG,2124
2018 - 2019,DIV,Newport News City Public Schools,1,2215
2018 - 2019,DIV,Newport News City Public Schools,2,2205
2018 - 2019,DIV,Newport News City Public Schools,3,2199
2018 - 2019,DIV,Newport News City Public Schools,4,2239
2018 - 2019,DIV,Newport News City Public Schools,5,2258
2018 - 2019,DIV,Newport News City Public Schools,6,2226
2018 - 2019,DIV,Newport News City Public Schools,7,2044
2018 - 2019,DIV,Newport News City Public Schools,8,1973
2018 - 2019,DIV,Newport News City Public Schools,9,2126
2018 - 2019,DIV,Newport News City Public Schools,10,1973
2018 - 2019,DIV,Newport News City Public Schools,11,1791
2018 - 2019,DIV,Newport News City Public Schools,12,1816
2018 - 2019,DIV,Norfolk City Public Schools,,30105
2018 - 2019,DIV,Norfolk City Public Schools,PG,18
2018 - 2019,DIV,Norfolk City Public Schools,PK,1904
2018 - 2019,DIV,Norfolk City Public Schools,KG,2495
2018 - 2019,DIV,Norfolk City Public Schools,1,2507
2018 - 2019,DIV,Norfolk City Public Schools,2,2409
2018 - 2019,DIV,Norfolk City Public Schools,3,2299
2018 - 2019,DIV,Norfolk City Public Schools,4,2359
2018 - 2019,DIV,Norfolk City Public Schools,5,2311
2018 - 2019,DIV,Norfolk City Public Schools,6,2278
2018 - 2019,DIV,Norfolk City Public Schools,7,2014
2018 - 2019,DIV,Norfolk City Public Schools,8,1970
2018 - 2019,DIV,Norfolk City Public Schools,9,2813
2018 - 2019,DIV,Norfolk City Public Schools,10,1803
2018 - 2019,DIV,Norfolk City Public Schools,11,1350
2018 - 2019,DIV,Norfolk City Public Schools,12,1575
2018 - 2019,DIV,Northampton County Public Schools,,1607
2018 - 2019,DIV,Northampton County Public Schools,PK,86
2018 - 2019,DIV,Northampton County Public Schools,KG,115
2018 - 2019,DIV,Northampton County Public Schools,1,98
2018 - 2019,DIV,Northampton County Public Schools,2,137
2018 - 2019,DIV,Northampton County Public Schools,3,125
2018 - 2019,DIV,Northampton County Public Schools,4,109
2018 - 2019,DIV,Northampton County Public Schools,5,117
2018 - 2019,DIV,Northampton County Public Schools,6,116
2018 - 2019,DIV,Northampton County Public Schools,7,125
2018 - 2019,DIV,Northampton County Public Schools,8,115
2018 - 2019,DIV,Northampton County Public Schools,9,131
2018 - 2019,DIV,Northampton County Public Schools,10,109
2018 - 2019,DIV,Northampton County Public Schools,11,107
2018 - 2019,DIV,Northampton County Public Schools,12,117
2018 - 2019,DIV,Northumberland County Public Schools,,1315
2018 - 2019,DIV,Northumberland County Public Schools,PK,68
2018 - 2019,DIV,Northumberland County Public Schools,KG,101
2018 - 2019,DIV,Northumberland County Public Schools,1,81
2018 - 2019,DIV,Northumberland County Public Schools,2,88
2018 - 2019,DIV,Northumberland County Public Schools,3,85
2018 - 2019,DIV,Northumberland County Public Schools,4,96
2018 - 2019,DIV,Northumberland County Public Schools,5,94
2018 - 2019,DIV,Northumberland County Public Schools,6,87
2018 - 2019,DIV,Northumberland County Public Schools,7,92
2018 - 2019,DIV,Northumberland County Public Schools,8,109
2018 - 2019,DIV,Northumberland County Public Schools,9,109
2018 - 2019,DIV,Northumberland County Public Schools,10,105
2018 - 2019,DIV,Northumberland County Public Schools,11,94
2018 - 2019,DIV,Northumberland County Public Schools,12,106
2018 - 2019,DIV,Norton City Public Schools,,842
2018 - 2019,DIV,Norton City Public Schools,PK,52
2018 - 2019,DIV,Norton City Public Schools,KG,65
2018 - 2019,DIV,Norton City Public Schools,1,51
2018 - 2019,DIV,Norton City Public Schools,2,55
2018 - 2019,DIV,Norton City Public Schools,3,60
2018 - 2019,DIV,Norton City Public Schools,4,67
2018 - 2019,DIV,Norton City Public Schools,5,63
2018 - 2019,DIV,Norton City Public Schools,6,60
2018 - 2019,DIV,Norton City Public Schools,7,61
2018 - 2019,DIV,Norton City Public Schools,8,66
2018 - 2019,DIV,Norton City Public Schools,9,81
2018 - 2019,DIV,Norton City Public Schools,10,62
2018 - 2019,DIV,Norton City Public Schools,11,46
2018 - 2019,DIV,Norton City Public Schools,12,53
2018 - 2019,DIV,Nottoway County Public Schools,,2043
2018 - 2019,DIV,Nottoway County Public Schools,PK,84
2018 - 2019,DIV,Nottoway County Public Schools,KG,152
2018 - 2019,DIV,Nottoway County Public Schools,1,145
2018 - 2019,DIV,Nottoway County Public Schools,2,149
2018 - 2019,DIV,Nottoway County Public Schools,3,133
2018 - 2019,DIV,Nottoway County Public Schools,4,153
2018 - 2019,DIV,Nottoway County Public Schools,5,140
2018 - 2019,DIV,Nottoway County Public Schools,6,167
2018 - 2019,DIV,Nottoway County Public Schools,7,154
2018 - 2019,DIV,Nottoway County Public Schools,8,153
2018 - 2019,DIV,Nottoway County Public Schools,9,187
2018 - 2019,DIV,Nottoway County Public Schools,10,169
2018 - 2019,DIV,Nottoway County Public Schools,11,132
2018 - 2019,DIV,Nottoway County Public Schools,12,125
2018 - 2019,DIV,Orange County Public Schools,,5044
2018 - 2019,DIV,Orange County Public Schools,PK,247
2018 - 2019,DIV,Orange County Public Schools,KG,354
2018 - 2019,DIV,Orange County Public Schools,1,358
2018 - 2019,DIV,Orange County Public Schools,2,395
2018 - 2019,DIV,Orange County Public Schools,3,336
2018 - 2019,DIV,Orange County Public Schools,4,371
2018 - 2019,DIV,Orange County Public Schools,5,367
2018 - 2019,DIV,Orange County Public Schools,6,402
2018 - 2019,DIV,Orange County Public Schools,7,360
2018 - 2019,DIV,Orange County Public Schools,8,354
2018 - 2019,DIV,Orange County Public Schools,9,407
2018 - 2019,DIV,Orange County Public Schools,10,368
2018 - 2019,DIV,Orange County Public Schools,11,348
2018 - 2019,DIV,Orange County Public Schools,12,377
2018 - 2019,DIV,Page County Public Schools,,3332
2018 - 2019,DIV,Page County Public Schools,PK,94
2018 - 2019,DIV,Page County Public Schools,KG,223
2018 - 2019,DIV,Page County Public Schools,1,218
2018 - 2019,DIV,Page County Public Schools,2,199
2018 - 2019,DIV,Page County Public Schools,3,213
2018 - 2019,DIV,Page County Public Schools,4,257
2018 - 2019,DIV,Page County Public Schools,5,259
2018 - 2019,DIV,Page County Public Schools,6,221
2018 - 2019,DIV,Page County Public Schools,7,282
2018 - 2019,DIV,Page County Public Schools,8,262
2018 - 2019,DIV,Page County Public Schools,9,298
2018 - 2019,DIV,Page County Public Schools,10,269
2018 - 2019,DIV,Page County Public Schools,11,261
2018 - 2019,DIV,Page County Public Schools,12,276
2018 - 2019,DIV,Patrick County Public Schools,,2601
2018 - 2019,DIV,Patrick County Public Schools,PK,73
2018 - 2019,DIV,Patrick County Public Schools,KG,278
2018 - 2019,DIV,Patrick County Public Schools,1,340
2018 - 2019,DIV,Patrick County Public Schools,2,176
2018 - 2019,DIV,Patrick County Public Schools,3,164
2018 - 2019,DIV,Patrick County Public Schools,4,154
2018 - 2019,DIV,Patrick County Public Schools,5,184
2018 - 2019,DIV,Patrick County Public Schools,6,167
2018 - 2019,DIV,Patrick County Public Schools,7,190
2018 - 2019,DIV,Patrick County Public Schools,8,183
2018 - 2019,DIV,Patrick County Public Schools,9,187
2018 - 2019,DIV,Patrick County Public Schools,10,192
2018 - 2019,DIV,Patrick County Public Schools,11,141
2018 - 2019,DIV,Patrick County Public Schools,12,172
2018 - 2019,DIV,Petersburg City Public Schools,,4196
2018 - 2019,DIV,Petersburg City Public Schools,PK,392
2018 - 2019,DIV,Petersburg City Public Schools,KG,358
2018 - 2019,DIV,Petersburg City Public Schools,1,325
2018 - 2019,DIV,Petersburg City Public Schools,2,359
2018 - 2019,DIV,Petersburg City Public Schools,3,335
2018 - 2019,DIV,Petersburg City Public Schools,4,334
2018 - 2019,DIV,Petersburg City Public Schools,5,296
2018 - 2019,DIV,Petersburg City Public Schools,6,293
2018 - 2019,DIV,Petersburg City Public Schools,7,257
2018 - 2019,DIV,Petersburg City Public Schools,8,242
2018 - 2019,DIV,Petersburg City Public Schools,9,270
2018 - 2019,DIV,Petersburg City Public Schools,10,224
2018 - 2019,DIV,Petersburg City Public Schools,11,256
2018 - 2019,DIV,Petersburg City Public Schools,12,255
2018 - 2019,DIV,Pittsylvania County Public Schools,,8846
2018 - 2019,DIV,Pittsylvania County Public Schools,PK,261
2018 - 2019,DIV,Pittsylvania County Public Schools,KG,590
2018 - 2019,DIV,Pittsylvania County Public Schools,1,574
2018 - 2019,DIV,Pittsylvania County Public Schools,2,599
2018 - 2019,DIV,Pittsylvania County Public Schools,3,577
2018 - 2019,DIV,Pittsylvania County Public Schools,4,660
2018 - 2019,DIV,Pittsylvania County Public Schools,5,687
2018 - 2019,DIV,Pittsylvania County Public Schools,6,663
2018 - 2019,DIV,Pittsylvania County Public Schools,7,727
2018 - 2019,DIV,Pittsylvania County Public Schools,8,691
2018 - 2019,DIV,Pittsylvania County Public Schools,9,800
2018 - 2019,DIV,Pittsylvania County Public Schools,10,716
2018 - 2019,DIV,Pittsylvania County Public Schools,11,622
2018 - 2019,DIV,Pittsylvania County Public Schools,12,679
2018 - 2019,DIV,Poquoson City Public Schools,,2139
2018 - 2019,DIV,Poquoson City Public Schools,PK,20
2018 - 2019,DIV,Poquoson City Public Schools,KG,135
2018 - 2019,DIV,Poquoson City Public Schools,1,149
2018 - 2019,DIV,Poquoson City Public Schools,2,153
2018 - 2019,DIV,Poquoson City Public Schools,3,128
2018 - 2019,DIV,Poquoson City Public Schools,4,151
2018 - 2019,DIV,Poquoson City Public Schools,5,182
2018 - 2019,DIV,Poquoson City Public Schools,6,162
2018 - 2019,DIV,Poquoson City Public Schools,7,162
2018 - 2019,DIV,Poquoson City Public Schools,8,183
2018 - 2019,DIV,Poquoson City Public Schools,9,194
2018 - 2019,DIV,Poquoson City Public Schools,10,188
2018 - 2019,DIV,Poquoson City Public Schools,11,163
2018 - 2019,DIV,Poquoson City Public Schools,12,169
2018 - 2019,DIV,Portsmouth City Public Schools,,14006
2018 - 2019,DIV,Portsmouth City Public Schools,PK,562
2018 - 2019,DIV,Portsmouth City Public Schools,KG,1124
2018 - 2019,DIV,Portsmouth City Public Schools,1,1134
2018 - 2019,DIV,Portsmouth City Public Schools,2,1120
2018 - 2019,DIV,Portsmouth City Public Schools,3,1161
2018 - 2019,DIV,Portsmouth City Public Schools,4,1082
2018 - 2019,DIV,Portsmouth City Public Schools,5,1089
2018 - 2019,DIV,Portsmouth City Public Schools,6,1054
2018 - 2019,DIV,Portsmouth City Public Schools,7,910
2018 - 2019,DIV,Portsmouth City Public Schools,8,963
2018 - 2019,DIV,Portsmouth City Public Schools,9,1060
2018 - 2019,DIV,Portsmouth City Public Schools,10,962
2018 - 2019,DIV,Portsmouth City Public Schools,11,867
2018 - 2019,DIV,Portsmouth City Public Schools,12,918
2018 - 2019,DIV,Powhatan County Public Schools,,4323
2018 - 2019,DIV,Powhatan County Public Schools,PK,62
2018 - 2019,DIV,Powhatan County Public Schools,KG,265
2018 - 2019,DIV,Powhatan County Public Schools,1,280
2018 - 2019,DIV,Powhatan County Public Schools,2,321
2018 - 2019,DIV,Powhatan County Public Schools,3,310
2018 - 2019,DIV,Powhatan County Public Schools,4,302
2018 - 2019,DIV,Powhatan County Public Schools,5,338
2018 - 2019,DIV,Powhatan County Public Schools,6,326
2018 - 2019,DIV,Powhatan County Public Schools,7,359
2018 - 2019,DIV,Powhatan County Public Schools,8,340
2018 - 2019,DIV,Powhatan County Public Schools,9,374
2018 - 2019,DIV,Powhatan County Public Schools,10,352
2018 - 2019,DIV,Powhatan County Public Schools,11,334
2018 - 2019,DIV,Powhatan County Public Schools,12,360
2018 - 2019,DIV,Prince Edward County Public Schools,,2079
2018 - 2019,DIV,Prince Edward County Public Schools,PK,116
2018 - 2019,DIV,Prince Edward County Public Schools,KG,137
2018 - 2019,DIV,Prince Edward County Public Schools,1,154
